course_id,course_title,provider,subject_area,level,qual_type,mode,course_url,notes
1,Access to Higher Education Diploma – Social Science,Bury College,Health & Wellbeing,3,Access to HE,,https://burycollege.ac.uk/courses/adult-course/access-to-higher-education-diploma-social-science,
2,Digital Technologies HTQ/HNC,Bury College,Computing & Digital Technologies,4,HNC/HTQ,,https://burycollege.ac.uk/courses/university-centre/digital-technologies-htq-hnc,
3,Digital Support and Security – T Level,Bury College,Computing & Digital Technologies,3,T Level,FT,https://gmiot.ac.uk/digital-support-and-security-t-level-lvl-3/,
4,Digital Software Development – T Level,Bury College,Computing & Digital Technologies,3,T Level,FT,https://gmiot.ac.uk/digital-software-development-t-level-lvl-3/,
5,Sport and Exercise Science,Bury College,Health & Wellbeing,4,HNC,,https://gmiot.ac.uk/sport-and-exercise-science-hnc-lvl-4/,
6,Social and Community Work,Bury College,Health & Wellbeing,4,HNC,,https://gmiot.ac.uk/social-and-community-work-hnc-lvl-4/,
7,Healthcare Practice,Bury College,Health & Wellbeing,4,HNC/HTQ,,https://gmiot.ac.uk/healthcare-practice-htq-hnc-lvl-4/,
8,Community Coaching for England,Bury College,Health & Wellbeing,4,HNC/HTQ,,https://gmiot.ac.uk/community-coaching-for-england-htq-hnc-lvl-4/,
9,Supporting Therapy Teams – T Level,Bury College,Health & Wellbeing,3,T Level,FT,https://gmiot.ac.uk/supporting-therapy-teams-t-level-lvl-3/,
10,Supporting the Adult Nursing Team – T Level,Bury College,Health & Wellbeing,3,T Level,FT,https://gmiot.ac.uk/supporting-the-adult-nursing-team-t-level-lvl-3/,
11,Nursing Midwifery and Allied Health Professions – Access to HE Diploma,Bury College,Health & Wellbeing,3,Access to HE,,https://gmiot.ac.uk/nursing-midwifery-and-allied-health-professions-access-to-he-diploma-lvl-3/,
12,Access to HE Diploma (Computing and Digital Technology),Trafford & Stockport College,Computing & Digital Technologies,3,Access to HE,FT,https://trafford.tscg.ac.uk/our-courses/detail/?ccid=TFP-AH3D-1600,
13,HNC Mechatronics for England,Trafford & Stockport College,Advanced Engineering & Manufacturing,4,HNC,FT,https://trafford.tscg.ac.uk/our-courses/detail/?ccid=TFQ-HM4H-1700,
14,HNC Mechatronics for England,Trafford & Stockport College,Advanced Engineering & Manufacturing,4,HNC,PT,https://trafford.tscg.ac.uk/our-courses/detail/?ccid=TPQ-HM4H-1700,
15,HNC Electrical and Electronic Engineering for England,Trafford & Stockport College,Advanced Engineering & Manufacturing,4,HNC,FT,https://trafford.tscg.ac.uk/our-courses/detail/?ccid=TFQ-HM4H-1800,
16,HNC Electrical and Electronic Engineering for England,Trafford & Stockport College,Advanced Engineering & Manufacturing,4,HNC,PT,https://trafford.tscg.ac.uk/our-courses/detail/?ccid=TPQ-HM4H-1800,
